,CRIM,RM,DIS,PTRATIO,LSTAT,GFK,MEDV
124,0.09849,5.879,2.0063,19.1,17.58,YES,18.8
125,0.16902,5.986,1.9929,19.1,14.81,YES,21.4
126,0.38735,5.613,1.7572,19.1,27.26,YES,15.7
127,0.25915,5.693,1.7883,21.2,17.19,NO,16.2
128,0.32543,6.431,1.8125,21.2,15.39,NO,18.0
129,0.88125,5.637,1.9799,21.2,18.34,NO,14.3
130,0.34006,6.458,2.1185,21.2,12.6,NO,19.2
131,1.19294,6.326,2.271,21.2,12.26,NO,19.6
132,0.59005,6.372,2.3274,21.2,11.12,NO,23.0
133,0.32982,5.822,2.4699,21.2,15.03,NO,18.4
134,0.97617,5.757,2.346,21.2,17.31,NO,15.6
135,0.55778,6.335,2.1107,21.2,16.96,NO,18.1
136,0.32264,5.942,1.9669,21.2,16.9,NO,17.4
137,0.35233,6.454,1.8498,21.2,14.59,NO,17.1
138,0.2498,5.857,1.6686,21.2,21.32,NO,13.3
139,0.54452,6.151,1.6687,21.2,18.46,NO,17.8
140,0.2909,6.174,1.6119,21.2,24.16,NO,14.0
141,1.62864,5.019,1.4394,21.2,34.41,NO,14.4
142,3.32105,5.403,1.3216,14.7,26.82,NO,13.4
143,4.0974,5.468,1.4118,14.7,26.42,NO,15.6
144,2.77974,4.903,1.3459,14.7,29.29,NO,11.8
145,2.37934,6.13,1.4191,14.7,27.8,NO,13.8
146,2.15505,5.628,1.5166,14.7,16.65,NO,15.6
147,2.36862,4.926,1.4608,14.7,29.53,NO,14.6
148,2.33099,5.186,1.5296,14.7,28.32,NO,17.8
149,2.73397,5.597,1.5257,14.7,21.45,NO,15.4
150,1.6566,6.122,1.618,14.7,14.1,NO,21.5
151,1.49632,5.404,1.5916,14.7,13.28,NO,19.6
152,1.12658,5.012,1.6102,14.7,12.12,NO,15.3
153,2.14918,5.709,1.6232,14.7,15.79,NO,19.4
154,1.41385,6.129,1.7494,14.7,15.12,NO,17.0
155,3.53501,6.152,1.7455,14.7,15.02,NO,15.6
156,2.44668,5.272,1.7364,14.7,16.14,NO,13.1
157,1.22358,6.943,1.8773,14.7,4.59,NO,41.3
158,1.34284,6.066,1.7573,14.7,6.43,NO,24.3
159,1.42502,6.51,1.7659,14.7,7.39,NO,23.3
160,1.27346,6.25,1.7984,14.7,5.5,NO,27.0
161,1.46336,7.489,1.9709,14.7,1.73,NO,50.0
162,1.83377,7.802,2.0407,14.7,1.92,NO,50.0
163,1.51902,8.375,2.162,14.7,3.32,NO,50.0
164,2.24236,5.854,2.422,14.7,11.64,NO,22.7
165,2.924,6.101,2.2834,14.7,9.81,NO,25.0
166,2.01019,7.929,2.0459,14.7,3.7,NO,50.0
167,1.80028,5.877,2.4259,14.7,12.14,NO,23.8
168,2.3004,6.319,2.1,14.7,11.1,NO,23.8
169,2.44953,6.402,2.2625,14.7,11.32,NO,22.3
170,1.20742,5.875,2.4259,14.7,14.43,NO,17.4
171,2.3139,5.88,2.3887,14.7,12.03,NO,19.1
172,0.13914,5.572,2.5961,16.6,14.69,YES,23.1
173,0.09178,6.416,2.6463,16.6,9.04,YES,23.6
174,0.08447,5.859,2.7019,16.6,9.64,YES,22.6
175,0.06664,6.546,3.1323,16.6,5.33,YES,29.4
176,0.07022,6.02,3.5549,16.6,10.11,YES,23.2
177,0.05425,6.315,3.3175,16.6,6.29,YES,24.6
178,0.06642,6.86,2.9153,16.6,6.92,YES,29.9
179,0.0578,6.98,2.829,17.8,5.04,YES,37.2
180,0.06588,7.765,2.741,17.8,7.56,YES,39.8
181,0.06888,6.144,2.5979,17.8,9.45,YES,36.2
182,0.09103,7.155,2.7006,17.8,4.82,YES,37.9
183,0.10008,6.563,2.847,17.8,5.68,YES,32.5
184,0.08308,5.604,2.9879,17.8,13.98,YES,26.4
185,0.06047,6.153,3.2797,17.8,13.15,YES,29.6
186,0.05602,7.831,3.1992,17.8,4.45,YES,50.0
187,0.07875,6.782,3.7886,15.2,6.68,YES,32.0
188,0.12579,6.556,4.5667,15.2,4.56,YES,29.8
189,0.0837,7.185,4.5667,15.2,5.39,YES,34.9
190,0.09068,6.951,6.4798,15.2,5.1,NO,37.0
191,0.06911,6.739,6.4798,15.2,4.69,NO,30.5
192,0.08664,7.178,6.4798,15.2,2.87,NO,36.4
193,0.02187,6.8,6.2196,15.6,5.03,NO,31.1
194,0.01439,6.604,6.2196,15.6,4.38,NO,29.1
195,0.01381,7.875,5.6484,14.4,2.97,YES,50.0
196,0.04011,7.287,7.309,12.6,4.08,NO,33.3
197,0.04666,7.107,7.309,12.6,8.61,NO,30.3
198,0.03768,7.274,7.309,12.6,6.62,NO,34.6
199,0.0315,6.975,7.6534,17.0,4.56,NO,34.9
200,0.01778,7.135,7.6534,17.0,4.45,NO,32.9
201,0.03445,6.162,6.27,14.7,7.43,NO,24.1
202,0.02177,7.61,6.27,14.7,3.11,NO,42.3
203,0.0351,7.853,5.118,14.7,3.81,YES,48.5
204,0.02009,8.034,5.118,14.7,2.88,YES,50.0
205,0.13642,5.891,3.9454,18.6,10.87,YES,22.6
206,0.22969,6.326,4.3549,18.6,10.97,YES,24.4
207,0.25199,5.783,4.3549,18.6,18.06,YES,22.5
208,0.13587,6.064,4.2392,18.6,14.66,YES,24.4
209,0.43571,5.344,3.875,18.6,23.09,YES,20.0
210,0.17446,5.96,3.8771,18.6,17.27,YES,21.7
211,0.37578,5.404,3.665,18.6,23.98,YES,19.3
212,0.21719,5.807,3.6526,18.6,16.03,YES,22.4
213,0.14052,6.375,3.9454,18.6,9.38,YES,28.1
214,0.28955,5.412,3.5875,18.6,29.55,YES,23.7
215,0.19802,6.182,3.9454,18.6,9.47,YES,25.0
216,0.0456,5.888,3.1121,16.4,13.51,YES,23.3
217,0.07013,6.642,3.4211,16.4,9.69,YES,28.7
218,0.11069,5.951,2.8893,16.4,17.92,YES,21.5
219,0.11425,6.373,3.3633,16.4,10.5,YES,23.0
220,0.35809,6.951,2.8617,17.4,9.71,YES,26.7
221,0.40771,6.164,3.048,17.4,21.46,YES,21.7
222,0.62356,6.879,3.2721,17.4,9.93,NO,27.5
223,0.6147,6.618,3.2721,17.4,7.6,NO,30.1
224,0.31533,8.266,2.8944,17.4,4.14,YES,44.8
225,0.52693,8.725,2.8944,17.4,4.63,NO,50.0
226,0.38214,8.04,3.2157,17.4,3.13,YES,37.6
227,0.41238,7.163,3.2157,17.4,6.36,YES,31.6
228,0.29819,7.686,3.3751,17.4,3.92,YES,46.7
229,0.44178,6.552,3.3751,17.4,3.76,YES,31.5
230,0.537,5.981,3.6715,17.4,11.65,NO,24.3
231,0.46296,7.412,3.6715,17.4,5.25,YES,31.7
232,0.57529,8.337,3.8384,17.4,2.47,NO,41.7
233,0.33147,8.247,3.6519,17.4,3.95,YES,48.3
234,0.44791,6.726,3.6519,17.4,8.05,YES,29.0
235,0.33045,6.086,3.6519,17.4,10.88,YES,24.0
236,0.52058,6.631,4.148,17.4,9.54,NO,25.1
237,0.51183,7.358,4.148,17.4,4.73,NO,31.5
238,0.08244,6.481,6.1899,16.6,6.36,NO,23.7
239,0.09252,6.606,6.1899,16.6,7.37,NO,23.3
240,0.11329,6.897,6.3361,16.6,11.38,NO,22.0
241,0.10612,6.095,6.3361,16.6,12.4,NO,20.1
242,0.1029,6.358,7.0355,16.6,11.22,NO,22.2
243,0.12757,6.393,7.0355,16.6,5.19,NO,23.7
244,0.20608,5.593,7.9549,19.1,12.5,NO,17.6
245,0.19133,5.605,7.9549,19.1,18.46,NO,18.5
246,0.33983,6.108,8.0555,19.1,9.16,NO,24.3
247,0.19657,6.226,8.0555,19.1,10.15,NO,20.5
248,0.16439,6.433,7.8265,19.1,9.52,NO,24.5
249,0.19073,6.718,7.8265,19.1,6.56,NO,26.2
250,0.1403,6.487,7.3967,19.1,5.9,NO,24.4
251,0.21409,6.438,7.3967,19.1,3.59,NO,24.8
252,0.08221,6.957,8.9067,19.1,3.53,NO,29.6
253,0.36894,8.259,8.9067,19.1,3.54,NO,42.8
254,0.04819,6.108,9.2203,16.4,6.57,NO,21.9
255,0.03548,5.876,9.2203,16.4,9.25,NO,20.9
256,0.01538,7.454,6.3361,15.9,3.11,NO,44.0
257,0.61154,8.704,1.801,13.0,5.12,NO,50.0
258,0.66351,7.333,1.8946,13.0,7.79,NO,36.0
259,0.65665,6.842,2.0107,13.0,6.9,NO,30.1
260,0.54011,7.203,2.1121,13.0,9.59,NO,33.8
261,0.53412,7.52,2.1398,13.0,7.26,NO,43.1
262,0.52014,8.398,2.2885,13.0,5.91,NO,48.8
263,0.82526,7.327,2.0788,13.0,11.25,NO,31.0
264,0.55007,7.206,1.9301,13.0,8.1,NO,36.5
265,0.76162,5.56,1.9865,13.0,10.45,NO,22.8
266,0.7857,7.014,2.1329,13.0,14.79,NO,30.7
267,0.57834,8.297,2.4216,13.0,7.44,NO,50.0
268,0.5405,7.47,2.872,13.0,3.16,NO,43.5
269,0.09065,5.92,3.9175,18.6,13.65,YES,20.7
270,0.29916,5.856,4.429,18.6,13.0,YES,21.1
271,0.16211,6.24,4.429,18.6,6.59,YES,25.2
272,0.1146,6.538,3.9175,18.6,7.73,YES,24.4
273,0.22188,7.691,4.3665,18.6,6.58,YES,35.2
274,0.05644,6.758,4.0776,17.6,3.53,YES,32.4
275,0.09604,6.854,4.2673,17.6,2.98,YES,32.0
276,0.10469,7.267,4.7872,17.6,6.05,YES,33.2
277,0.06127,6.826,4.8628,17.6,4.16,YES,33.1
278,0.07978,6.482,4.1403,17.6,7.19,YES,29.1
279,0.21038,6.812,4.1007,14.9,4.85,YES,35.1
280,0.03578,7.82,4.6947,14.9,3.76,YES,45.4
281,0.03705,6.968,5.2447,14.9,4.59,YES,35.4
282,0.06129,7.645,5.2119,14.9,3.01,YES,46.0
283,0.01501,7.923,5.885,13.6,3.16,YES,50.0
284,0.00906,7.088,7.3073,15.3,7.85,NO,32.2
285,0.01096,6.453,7.3073,15.3,8.23,NO,22.0
286,0.01965,6.23,9.0892,18.2,12.93,NO,20.1
287,0.03871,6.209,7.3172,16.6,7.14,NO,23.2
288,0.0459,6.315,7.3172,16.6,7.6,NO,22.3
289,0.04297,6.565,7.3172,16.6,9.51,NO,24.8
290,0.03502,6.861,5.1167,19.2,3.33,YES,28.5
291,0.07886,7.148,5.1167,19.2,3.56,YES,37.3
292,0.03615,6.63,5.1167,19.2,4.7,YES,27.9
293,0.08265,6.127,5.5027,16.0,8.58,YES,23.9
294,0.08199,6.009,5.5027,16.0,10.4,YES,21.7
295,0.12932,6.678,5.9604,16.0,6.27,YES,28.6
296,0.05372,6.549,5.9604,16.0,7.39,YES,27.1
297,0.14103,5.79,6.32,16.0,15.84,NO,20.3
298,0.06466,6.345,7.8278,14.8,4.97,NO,22.5
299,0.05561,7.041,7.8278,14.8,4.74,NO,29.0
300,0.04417,6.871,7.8278,14.8,6.07,NO,24.8
301,0.03537,6.59,5.4917,16.1,9.5,YES,22.0
302,0.09266,6.495,5.4917,16.1,8.67,YES,26.4
303,0.1,6.982,5.4917,16.1,4.86,YES,33.1
304,0.05515,7.236,4.022,18.4,6.93,YES,36.1
305,0.05479,6.616,3.37,18.4,8.93,YES,28.4
306,0.07503,7.42,3.0992,18.4,6.47,YES,33.4
307,0.04932,6.849,3.1827,18.4,7.53,YES,28.2
308,0.49298,6.635,3.3175,18.4,4.54,YES,22.8
309,0.3494,5.972,3.1025,18.4,9.97,YES,20.3
310,2.63548,4.973,2.5194,18.4,12.64,NO,16.1
311,0.79041,6.122,2.6403,18.4,5.98,NO,22.1
312,0.26169,6.023,2.834,18.4,11.72,YES,19.4
313,0.26938,6.266,3.2628,18.4,7.9,YES,21.6
314,0.3692,6.567,3.6023,18.4,9.28,YES,23.8
315,0.25356,5.705,3.945,18.4,11.5,YES,16.2
316,0.31827,5.914,3.9986,18.4,18.33,YES,17.8
317,0.24522,5.782,4.0317,18.4,15.94,YES,19.8
318,0.40202,6.382,3.5325,18.4,10.36,YES,23.1
319,0.47547,6.113,4.0019,18.4,12.73,YES,21.0
320,0.1676,6.426,4.5404,19.6,7.2,YES,23.8
321,0.18159,6.376,4.5404,19.6,6.87,YES,23.1
322,0.35114,6.041,4.7211,19.6,7.7,YES,20.4
323,0.28392,5.708,4.7211,19.6,11.74,YES,18.5
324,0.34109,6.415,4.7211,19.6,6.12,YES,25.0
325,0.19186,6.431,5.4159,19.6,5.08,YES,24.6
326,0.30347,6.312,5.4159,19.6,6.15,YES,23.0
327,0.24103,6.083,5.4159,19.6,12.79,YES,22.2
328,0.06617,5.868,5.2146,16.9,9.97,YES,19.3
329,0.06724,6.333,5.2146,16.9,7.34,YES,22.6
330,0.04544,6.144,5.8736,16.9,9.09,YES,19.8
331,0.05023,5.706,6.6407,16.9,12.43,NO,17.1
332,0.03466,6.031,6.6407,16.9,7.83,NO,19.4
333,0.05083,6.316,6.4584,20.2,5.68,NO,22.2
334,0.03738,6.31,6.4584,20.2,6.75,NO,20.7
335,0.03961,6.037,5.9853,20.2,8.01,NO,21.1
336,0.03427,5.869,5.2311,20.2,9.8,NO,19.5
337,0.03041,5.895,5.615,20.2,10.56,NO,18.5
338,0.03306,6.059,4.8122,20.2,8.51,NO,20.6
339,0.05497,5.985,4.8122,20.2,9.74,NO,19.0
340,0.06151,5.968,4.8122,20.2,9.29,NO,18.7
341,0.01301,7.241,7.0379,15.5,5.49,NO,32.7
342,0.02498,6.54,6.2669,15.9,8.65,NO,16.5
343,0.02543,6.696,5.7321,17.6,7.18,YES,23.9
344,0.03049,6.874,6.4654,17.6,4.61,NO,31.2
345,0.03113,6.014,8.0136,18.8,10.53,NO,17.5
346,0.06162,5.898,8.0136,18.8,12.67,NO,17.2
347,0.0187,6.516,8.5353,17.9,6.36,NO,23.1
348,0.01501,6.635,8.344,17.0,5.99,NO,24.5
349,0.02899,6.939,8.7921,19.7,5.89,NO,26.6
350,0.06211,6.49,8.7921,19.7,5.98,NO,22.9
351,0.0795,6.579,10.7103,18.3,5.49,NO,24.1
352,0.07244,5.884,10.7103,18.3,7.79,NO,18.6
353,0.01709,6.728,12.1265,17.0,4.5,NO,30.1
354,0.04301,5.663,10.5857,22.0,8.05,NO,18.2
355,0.10659,5.936,10.5857,22.0,5.57,NO,20.6
356,8.98296,6.212,2.1222,20.2,17.6,NO,17.8
357,3.8497,6.395,2.5052,20.2,13.27,NO,21.7
358,5.20177,6.127,2.7227,20.2,11.48,NO,22.7
359,4.26131,6.112,2.5091,20.2,12.67,NO,22.6
360,4.54192,6.398,2.5182,20.2,7.79,NO,25.0
361,3.83684,6.251,2.2955,20.2,14.19,NO,19.9
362,3.67822,5.362,2.1036,20.2,10.19,NO,20.8
363,4.22239,5.803,1.9047,20.2,14.64,NO,16.8
364,3.47428,8.78,1.9047,20.2,5.29,NO,21.9
365,4.55587,3.561,1.6132,20.2,7.12,NO,27.5
366,3.69695,4.963,1.7523,20.2,14.0,NO,21.9
367,13.5222,3.863,1.5106,20.2,13.33,NO,23.1
368,4.89822,4.97,1.3325,20.2,3.26,NO,50.0
369,5.66998,6.683,1.3567,20.2,3.73,NO,50.0
370,6.53876,7.016,1.2024,20.2,2.96,NO,50.0
371,9.2323,6.216,1.1691,20.2,9.53,NO,50.0
372,8.26725,5.875,1.1296,20.2,8.88,NO,50.0
373,11.1081,4.906,1.1742,20.2,34.77,NO,13.8
374,18.4982,4.138,1.137,20.2,37.97,NO,13.8
375,19.6091,7.313,1.3163,20.2,13.44,NO,15.0
376,15.288,6.649,1.3449,20.2,23.24,NO,13.9
377,9.82349,6.794,1.358,20.2,21.24,NO,13.3
378,23.6482,6.38,1.3861,20.2,23.69,NO,13.1
379,17.8667,6.223,1.3861,20.2,21.78,NO,10.2
380,88.9762,6.968,1.4165,20.2,17.21,NO,10.4
381,15.8744,6.545,1.5192,20.2,21.08,NO,10.9
382,9.18702,5.536,1.5804,20.2,23.6,NO,11.3
383,7.99248,5.52,1.5331,20.2,24.56,NO,12.3
384,20.0849,4.368,1.4395,20.2,30.63,NO,8.8
385,16.8118,5.277,1.4261,20.2,30.81,NO,7.2
386,24.3938,4.652,1.4672,20.2,28.28,NO,10.5
387,22.5971,5.0,1.5184,20.2,31.99,NO,7.4
388,14.3337,4.88,1.5895,20.2,30.62,NO,10.2
389,8.15174,5.39,1.7281,20.2,20.85,NO,11.5
390,6.96215,5.713,1.9265,20.2,17.11,NO,15.1
391,5.29305,6.051,2.1678,20.2,18.76,NO,23.2
392,11.5779,5.036,1.77,20.2,25.68,NO,9.7
393,8.64476,6.193,1.7912,20.2,15.17,NO,13.8
394,13.3598,5.887,1.7821,20.2,16.35,NO,12.7
395,8.71675,6.471,1.7257,20.2,17.12,NO,13.1
396,5.87205,6.405,1.6768,20.2,19.37,NO,12.5
397,7.67202,5.747,1.6334,20.2,19.92,NO,8.5
398,38.3518,5.453,1.4896,20.2,30.59,NO,5.0
399,9.91655,5.852,1.5004,20.2,29.97,NO,6.3
400,25.0461,5.987,1.5888,20.2,26.77,NO,5.6
401,14.2362,6.343,1.5741,20.2,20.32,NO,7.2
402,9.59571,6.404,1.639,20.2,20.31,NO,12.1
403,24.8017,5.349,1.7028,20.2,19.77,NO,8.3
404,41.5292,5.531,1.6074,20.2,27.38,NO,8.5
405,67.9208,5.683,1.4254,20.2,22.98,NO,5.0
406,20.7162,4.138,1.1781,20.2,23.34,NO,11.9
407,11.9511,5.608,1.2852,20.2,12.13,NO,27.9
408,7.40389,5.617,1.4547,20.2,26.4,NO,17.2
409,14.4383,6.852,1.4655,20.2,19.78,NO,27.5
410,51.1358,5.757,1.413,20.2,10.11,NO,15.0
411,14.0507,6.657,1.5275,20.2,21.22,NO,17.2
412,18.811,4.628,1.5539,20.2,34.37,NO,17.9
413,28.6558,5.155,1.5894,20.2,20.08,NO,16.3
414,45.7461,4.519,1.6582,20.2,36.98,NO,7.0
415,18.0846,6.434,1.8347,20.2,29.05,NO,7.2
416,10.8342,6.782,1.8195,20.2,25.79,NO,7.5
417,25.9406,5.304,1.6475,20.2,26.64,NO,10.4
418,73.5341,5.957,1.8026,20.2,20.62,NO,8.8
419,11.8123,6.824,1.794,20.2,22.74,NO,8.4
420,11.0874,6.411,1.8589,20.2,15.02,NO,16.7
421,7.02259,6.006,1.8746,20.2,15.7,NO,14.2
422,12.0482,5.648,1.9512,20.2,14.1,NO,20.8
423,7.05042,6.103,2.0218,20.2,23.29,NO,13.4
424,8.79212,5.565,2.0635,20.2,17.16,NO,11.7
425,15.8603,5.896,1.9096,20.2,24.39,NO,8.3
426,12.2472,5.837,1.9976,20.2,15.69,NO,10.2
427,37.6619,6.202,1.8629,20.2,14.52,NO,10.9
428,7.36711,6.193,1.9356,20.2,21.52,NO,11.0
429,9.33889,6.38,1.9682,20.2,24.08,NO,9.5
430,8.49213,6.348,2.0527,20.2,17.64,NO,14.5
431,10.0623,6.833,2.0882,20.2,19.69,NO,14.1
432,6.44405,6.425,2.2004,20.2,12.03,NO,16.1
433,5.58107,6.436,2.3158,20.2,16.22,NO,14.3
434,13.9134,6.208,2.2222,20.2,15.17,NO,11.7
435,11.1604,6.629,2.1247,20.2,23.27,NO,13.4
436,14.4208,6.461,2.0026,20.2,18.05,NO,9.6
437,15.1772,6.152,1.9142,20.2,26.45,NO,8.7
438,13.6781,5.935,1.8206,20.2,34.02,NO,8.4
439,9.39063,5.627,1.8172,20.2,22.88,NO,12.8
440,22.0511,5.818,1.8662,20.2,22.11,NO,10.5
441,9.72418,6.406,2.0651,20.2,19.52,NO,17.1
442,5.66637,6.219,2.0048,20.2,16.59,NO,18.4
443,9.96654,6.485,1.9784,20.2,18.85,NO,15.4
444,12.8023,5.854,1.8956,20.2,23.79,NO,10.8
445,10.6718,6.459,1.9879,20.2,23.98,NO,11.8
446,6.28807,6.341,2.072,20.2,17.79,NO,14.9
447,9.92485,6.251,2.198,20.2,16.44,NO,12.6
448,9.32909,6.185,2.2616,20.2,18.13,NO,14.1
449,7.52601,6.417,2.185,20.2,19.31,NO,13.0
450,6.71772,6.749,2.3236,20.2,17.44,NO,13.4
